id,origen,fuente,no_enviar_email,no_llamar,compra,visitas_total,tiempo_en_site_total,paginas_vistas_visita,ult_actividad,ambito,ocupacion,conociste_google,conociste_revista,conociste_periodico,conociste_youtube,conociste_facebook,conociste_referencias,score_actividad,score_perfil,descarga_lm
604185,API,Chat,No,No,1,0.0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
594504,API,Chat,No,No,0,0.0,0,0.0,Email Opened,,,No,No,No,No,No,No,14.0,15.0,No
588993,Landing Page Submission,Direct Traffic,No,No,1,2.0,1802,2.0,SMS Sent,Finance Management,Unemployed,No,No,No,No,No,No,14.0,20.0,Yes
647977,Lead Import,Facebook,No,No,0,,214,,SMS Sent,,,No,No,No,No,No,No,14.0,15.0,No
584415,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
646491,API,Google,No,No,1,2.0,1499,1.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
654786,Landing Page Submission,Organic Search,No,No,0,6.0,361,3.0,Email Opened,Rural and Agribusiness,,No,No,No,No,No,No,14.0,13.0,Yes
625601,Landing Page Submission,Organic Search,Yes,No,0,2.0,743,2.0,Email Bounced,Media and Advertising,Unemployed,No,No,No,No,No,No,,,Yes
593369,Landing Page Submission,Google,No,No,1,3.0,381,3.0,SMS Sent,Finance Management,,No,No,No,No,No,No,15.0,17.0,No
605469,Landing Page Submission,Direct Traffic,No,No,1,11.0,1478,2.75,SMS Sent,Supply Chain Management,Unemployed,No,No,No,No,No,No,,,No
611906,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,,,No
656463,API,Google,No,No,0,2.0,376,2.0,Email Opened,,,No,No,No,No,No,No,12.0,15.0,No
646181,API,Google,No,No,0,2.0,200,2.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,13.0,15.0,No
616493,Landing Page Submission,Google,No,No,1,4.0,1544,4.0,SMS Sent,Operations Management,Unemployed,No,No,No,No,No,No,,,No
598819,API,Google,No,No,0,5.0,1548,1.0,Chat Conversation,Select,Student,No,No,No,No,No,No,,,No
641543,Landing Page Submission,Google,No,No,0,4.0,221,4.0,Email Opened,Finance Management,,No,No,No,No,No,No,14.0,18.0,No
610779,Landing Page Submission,Direct Traffic,No,No,0,2.0,547,2.0,Page Visited on Website,E-Business,Unemployed,No,No,No,No,No,No,,,Yes
601209,API,Chat,Yes,No,0,0.0,0,0.0,Unsubscribed,Select,Unemployed,No,No,No,No,No,No,,,No
587146,Landing Page Submission,Direct Traffic,No,No,1,7.0,247,1.75,Page Visited on Website,Finance Management,Unemployed,No,No,No,No,No,No,17.0,16.0,Yes
625565,Landing Page Submission,Google,No,No,0,4.0,99,4.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,,,No
588783,Landing Page Submission,Direct Traffic,No,No,1,10.0,1851,2.5,SMS Sent,Human Resource Management,Working Professional,No,No,No,No,No,No,15.0,20.0,Yes
588573,Landing Page Submission,Google,No,No,1,2.0,442,2.0,SMS Sent,Human Resource Management,Unemployed,No,No,No,No,No,No,14.0,18.0,No
